NAME,CLASS,SUBJECT,DATE,DAY,VERTICAL,CITY,SHELTER,TIME ,CONTACT NO.,EMAIL
Sana,7,maths,9/8/2021,Sunday,ed support,delhi ,leelavati shelter,18:00-20:00,6945169024,sanamalhotra23@gmail.com
Alisha,12,english,9/4/2021,Saturday,AS,bhopal,aashray girls shelter,10:00-12:00,9087123547,alishaasgar8@gmail.com
Parv,12,hindi,9/8/2021,Sunday,AS,delhi ,jumping minds shelter,12:00-14:00,8904328910,parvsingh11@gmail.com 
Drishti,11,maths,9/20/2021,Friday,AS,delhi ,leelavati shelter,10:00-12:00,8452524700,drishtimailk@gmail.com
Ved,12,physics,9/14/2021,Saturday,AS,lucknow,mumtaz boys shelter,14:00-16:00,7210923721,vedprakash55@gmail.com
Ishita,11,economics,9/8/2021,Sunday,AS,bangalore,shining star shelter,10:00-12:00,8732139036,ishitaranjan@gmail.com
Sahil,9,english,9/4/2021,Saturday,ed support,chennai,ramasagar shelter,18:00-20:00,9382829290,sahilmishra@gmail.com
Navya,6,hindi,9/20/2021,Friday,ed support,delhi ,leelavati shelter,16:00-18:00,7461919474,navyaverma25@gmail.com
Nikhil,11,maths,9/14/2021,Saturday,AS,mumbai,beautiful minds shelter,16:00-18:00,9827361744,nikhilmotwani33@gmail.com
Saanvi,12,biology,9/26/2021,Thursday,AS,bangalore,shining star shelter,14:00-16:00,8097172748,saanviaks23@gmail.com
Divya,7,science,9/14/2021,Saturday,ed support,chennai,ramasagar girls shelter,12:00-14:00,7819329991,divyagaur2001@gmail.com
Yug,11,english,9/26/2021,Thursday,AS,bhopal,aashray boys shelter,16:00-18:00,6372194325,yugchaudhary900@gmail.com
Sneha,11,physics,9/8/2021,Sunday,AS,lucknow,mumtaz girls shelter,12:00-14:00,7627334001,snehatandon17@gmail.com
Farid,12,biology,9/20/2021,Friday,AS,lucknow,mumtaz boys shelter,18:00-20:00,7920281843,faridkhan2345@gmail.com
Dhara,8,english,9/4/2021,Saturday,ed support,bhopal,aashray girls shelter,10:00-12:00,7980183627,dharajoshi09@gmail.com
Aarav,10,hindi,9/8/2021,Sunday,ed support,bhopal,aashray boys shelter,14:00-16:00,9018362740,aaravchauhan8765@gmail.com
Aradhya,10,science,9/26/2021,Thursday,ed support,chennai,ramasagar girls shelter,18:00-20:00,739236201,aradhyasaxena20@gmail.com
Arun,12,maths,9/2/2021,Monday,AS,chennai,ramasagar shelter,14:00-16:00,7120938271,arunchandra500@gmail.com
Anant,11,chemistry,9/8/2021,Sunday,AS,chennai,ramasagar shelter,12:00-14:00,8910362048,anantmishra121@gmail.com
Anushka,12,hindi,9/8/2021,Sunday,AS,delhi ,leelavati shelter,14:00-16:00,6231762098,anushkasingh26@gmail.com
Rudra,10,science,9/14/2021,Saturday,ed support,mumbai,beautiful minds shelter,16:00-18:00,9810238490,rudrapratap007@gmail.com
Vanita,12,chemistry,9/26/2021,Thursday,AS,mumbai,beautiful minds girls shelter,18:00-20:00,8821977037,vanitavats890@gmail.com
Ishaan,12,english,9/4/2021,Saturday,AS,bangalore,shinning star boys shelter,10:00-12:00,9612389045,ishaankapoor90@gmail.com
Nisha,7,maths,9/20/2021,Friday,ed support,bangalore,shining star shelter,14:00-16:00,7980123648,nishachauhan78@gmail.com
Jay,6,english,9/8/2021,Sunday,ed support,delhi ,jumping minds shelter,12:00-14:00,8921634820,nishachandra00@gmail.com
Tanya,9,hindi,9/14/2021,Saturday,ed support,delhi ,leelavati shelter,16:00-18:00,7788123354,tanyagautam90@gmail.com
Ajeet,12,physics,9/4/2021,Saturday,AS,delhi ,jumping minds shelter,14:00-16:00,8723018355,ajeetkumar12@gmail.com
Pranay,11,biology,9/8/2021,Sunday,AS,lucknow,mumtaz boys shelter,18:00-20:00,7018246210,pranayjoshi22@gmail.com
Amisha,11,economics,9/20/2021,Friday,AS,mumbai,beautiful minds girls shelter,10:00-12:00,8123098135,amishapal@gmail.com
Anshu,12,english,9/4/2021,Saturday,AS,chennai,ramasagar shelter,12:00-14:00,9018723412,anshurawat21@gmail.com
Laksh,9,hindi,9/26/2021,Thursday,ed support,bangalore,shinning star boys shelter,16:00-18:00,9080702115,lakshyasriv@gmail.com
